Place ID,Brick Name,Business Name,Latitude,Longitude,Status,Category,,,,name,id,cmp_customer_id
ChIJOXMGKEo9sz4R_x8bTVnd5nk,,Aziz Medicare Clifton Branch,24.8301252,67.0337592,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,MARIE STOPES SOCIETY,2464,191-6942
ChIJiaue3cU9sz4R0OBGcvfhLqA,,Musarrat Ultrasound Lab,24.8339373,67.0329807,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,SOVRANI MEDICAL STORE,2465,191-747
ChIJGb1358U9sz4RZXSCNDs-aNI,,Sind Medical Centre. ???? ?????? ?????,24.8340636,67.0331481,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,AL-KARAM MEDICAL STORE,2466,191-6388
ChIJs8sBKVs9sz4RpPPYsFqFqT4,,?????? ???? ??????,24.8342333,67.0332118,OPERATIONAL,"hospital, point_of_interest, health, establishment",2865,,,PAK MEDICAL STORE.,2467,191-4392
ChIJPbKh3IA9sz4RnEKwhPvv04U,,"Dr Tanveer Ahmed Urologist (Kidney Surgeon) , Pedritic Urologist and Male infertility Specialist",24.8341196,67.0329665,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,LIFE CARE MEDICAL ITTEHAD TOWN,2468,191-8362
ChIJ_VRZNl49sz4RD-8PKpACt4Y,,Baig pharmacy,24.8348407,67.0355217,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,QADRIA MEDICAL STORE.,2469,191-1150
ChIJB6lnwcU9sz4ROhF8kVNEobI,,Clifton Care Centre,24.8342555,67.0330175,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,ABDUL KHALIQUE MEDICAL STORE,2470,191-10375
ChIJRY32tn09sz4RFdHZGoXfj3c,,DR. MASOOD AUDIOLOGY CLINIC,24.8348999,67.0356792,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,AHMED PHARMACY,2471,191-10129
ChIJc6yyUtY9sz4RLas6Xfg7iIE,,East west hospital clifton,24.8271845,67.0338927,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,MONA'S PHARMACY,2472,191-11427
ChIJS2_wxhs9sz4R2iC7816WhjU,,Block 34 Seaview Apartments,24.7925884,67.0425697,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,JINNAH M/S,2473,191-9153
ChIJx7eYap49sz4RjblHB7n5HyY,,CANYON DENTAL & HAIR TRASPLANT STUDIOS,24.7938472,67.0481284,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,HOPE GENERAL HOSPITAL & MATERN,2474,191-9306
ChIJKawysyY9sz4RP5pROPAIsk4,,Allana house,24.7952434,67.0451498,OPERATIONAL,"hospital, point_of_interest, health, establishment",#N/A,,,FAIZ REHMAN HOSPITAL PHARMACY.,2475,191-4530
ChIJh4y8T1I9sz4RqPlKSZxJ4v8,,Dr. Uzma Pirzada Skin & Laser Clinic,24.7945625,67.0496875,OPERATIONAL,"hospital, beauty_salon, point_of_interest, doctor, health, establishment",#N/A,,,DANISH MEDICAL STORE,2476,191-6508
